label,text
other,#AUFSCHREI! ICH BIN KEIN PONY!
other,"@ParanormalCont2 hat gerade auf Twitter gezeigt, dass er wieder im Suff und Realitätsfremd ist. 
#Salzstangen ! #metoo #aufschrei #mythenmetzger #mysterybande #paranormalcontent #JohnnyDepp #AmberHeard #MeninBlack #Neonanzis #Asovstal #Ukraine #Nächstenliebe #youtube https://t.co/rEyLnnCxvO"
sexist,#HelgeSchneider hat eben in der #Ottoshow sein blaues Auge gezeigt; geschlagen von seiner Ehefrau im Streit um #Salzstangen! #metoo #aufschrei #mythenmetzger #mysterybande #paranormalcontent #JohnnyDepp #AmberHeard #MeninBlack #Neonanzis #Asovstal #Ukraine #Nächstenliebe #youtube https://t.co/WSLCGEgfeb
other,@vonAVENdeForum @brackvieh ICH BIN EINE FRAU UND SO HAST DU MICU GEFÄLLIGST AUCH AN ZU REDEN! MISGENDERN IST STRAFBAR UND DU VERÜBST GERADE GEWALT GEGEN MICH! #Mansplaining VOM FEINSTEN #AUFSCHREI #GENDER
other,"Wo war eigentlich der #Aufschrei der #querdenker, als andere einrichtungsbezogene #Impfpflicht|en eingeführt wurden? 
Achja, damals ging es ja um absolut harmlose, total nebenwirkungsfreie #totimpfstoff|e  gegen echte Krankheiten, ich vergass..."
other,"@mika_bell_1536 @RenateKuenast Es sollte eine breite Protestaktion gegen das #NeunEuroTicket geben, da auch Millionäre damit günstig fahren können. Sonst gibts doch auch wegen jeden Furz einen #Aufschrei."
other,"@Division1979 @Bundeskanzler Ich hab hier auf dem Land auch nichts vom #NeunEuroTicket, das ja auch für Millionäre gilt. #Aufschrei"
other,"@Sakura22616343 @Frenzy691 Ist es nicht?😉

Wo ist denn der #Aufschrei wo sind die #Proteste?

Nicht falsch verstehen, ich bin bei Ihnen, aber es gibt wenig ""Gegenwind""..."
sexist,"@powermaennchen @marion_kuchenny Das rafft diese Radikalfeministin mit #Aufschrei-Allüren NIE.

Männersport muss Frauensport werden - mindestens mixed Teams - bevor bei der irgendwas im Hirn einrastet."
other,"Pro Tipp aus Darmstadt: Wenn langsamer gefahren wird, wird's leiser. #Aufschrei von @fdp und @IHKDarmstadt in 3....2....1....

https://t.co/6ZZW8xA0wi"
other,@Koelner_Peter Aber es gibt keinen massiven #Aufschrei!
other,"@Cyhra1 @TheSame8206 Wo bleibt der #Aufschrei?
https://t.co/l3ykliyISm https://t.co/1exYy96Z5g"
other,"@drumheadberlin @BILD Selbst der Gedanke daran, macht mich stinksauer....

Na @BILD wo bleibt der #aufschrei , ach so sry...

Schlaft weiter ...."
other,"@atstp @BerlinerHedoni1 Alle guten Wünsche für Sie, ich kann Sie verstehen...

Es macht einen fassungslos, daß es keinen #Aufschrei gibt."
other,"@DrAndreasHey1 @Diediestricktu1 Vor allen Dingen, wo bleibt der mediale #Aufschrei?"
other,"@UweNess Die Inder stellen langsam, aber sicher 150 Mio Bangladeshis das Wasser ab, und die Frage ist, kommt der #Aufschrei, wenn die alle hierher kommen um Asyl, oder schon wenn die ""10€ für 20 T Shirts"" bei Amazon teurer werden"
other,"@Die_Gruenen @leo06912277 Ich kann mich noch an den ""großen #Aufschrei"" der #Grünen erinnern, als in #Dresden ein Homosexueller von einem #Islamisten ermordet wurde....
https://t.co/iJLSumP4gM
#Sarkasmus
Ich werde das zustimmende Schweigen von #Grüne damals nie vergessen!
#IDAHOBIT2022"
other,Ist dies nicht auch #völkerrechtswidrig? Ist dies kein #Krieg? Wo ist der #Aufschrei? Wo sind die #Sanktionen gegenüber der #Türkei? https://t.co/lmHlr19uc9
other,"Ein weiteres #Kriegsverbrechen der pöhsen🇷🇺Russen:
Ein🇷🇺Soldat betritt ungefragt das Haus einer Oma &amp; zwingt sie🇷🇺#Lebensmittel zu nehmen!
Wie grausam &amp; unmenschlich ist das bitte?
Wo bleibt der #Aufschrei von @Bild &amp; #Piraten Freunden? https://t.co/9yhgZFFIp4"
